id,name
1,Dram
2,Susp
3,Romt
4,Musc
5,Myst
6,susp
7,Comd
8,Docu
9,Advt
10,Actn
11,West
12,Fant
13,ScFi
14,Cart
15,Horr
16,BioP
17,Hist
18,Epic
19,Biop
20,CnRb
21,DRam
22,Surr
23,Crim
24,Cond
25,Romt Comd
26,Noir
27,BioG
28,Disa
29,West1
30,Adctx
31,txx
32,Camp
33,SciF
34,Surl
35,Porn
36,surreal
37,RomtAdvt
38,Ctxxx
39,stage musical
40,Muusc
41,Avant Garde
42,CnRbb
43,Draam
44,ram
45,Ctcxx
46,Dramn
47,Psych Dram
48,Ctxx
49,Comdx
50,comd
51,Homo
52,DRAM
53,romt
54,Muscl
55,CmR
56,Duco
57,dram
58,H
59,S.F.
60,actn
61,FantH*
62,RFP; H*
63,musc
64,Natu
65,TV
66,Scat
67,Drama
68,BiopP
69,Mystp
70,DraM
71,
72,CnR
73,H**
74,Bio
75,AvGa
76,Comd West
77,H0
78,Weird
79,noir
80,Scfi
81,Dramd
82,fant
83,Dram>
84,Cult
85,porn
86,Ront
87,Sctn
88,Dist
89,Hor
90,Psyc
91,Adct
92,Viol
93,CA
94,BioPx
95,Axtn
96,SxFi
97,BioB
98,Kinky
99,BioPP
100,TVmini
101,Ducu
102,Romtx
103,Sati
104,Dicu
105,Romt Fant
106,Comd Noir
107,Faml
108,UnDr
109,Expm
110,Noir Comd Romt
111,Art Video
112,Romt Actn
113,Dram Docu
114,Allegory
115,Romt. Comd
116,Dram.Actn
117,Noir Comd
118,Porb
119,verite
120,Romt Dram
121,anti-Dram
122,Act
123,Docu Dram
124,Road
