genreId,movieId
1,H1
1,H3
1,H7
1,H8
2,H9
2,H10
2,H11
2,H12
2,H13
3,H14
2,H15
2,H16
2,H17
4,H18
2,H19
5,H20
1,H21
6,H22
5,H23
2,H24
3,H25
7,H25
2,H26
2,H27
2,H28
2,H29
2,H30
2,H31
1,H32
1,H33
2,H34
3,H35
2,H36
2,H37
2,H38
2,H39
2,H42
2,H43
2,H44
2,H45
1,H46
2,H47
2,H48
2,H49
2,H50
2,H51
2,H52
2,H53
2,H57
2,H61
8,H61
2,H65
2,H69
2,H73
2,H79
2,H80
2,H81
2,H82
2,H83
2,H84
9,H40
9,H41
2,H54
2,H55
2,H56
2,H58
2,H59
2,H60
2,H62
2,H63
2,H64
2,H66
2,H67
2,H68
2,H70
2,H71
2,H72
2,H74
2,H75
2,H76
2,H77
2,H78
8,WKD10
7,WKD50
8,ALu2
8,ALu3
7,ALu5
8,ALu6
10,ALu30
7,ESP9
7,ESP10
11,ESP11
11,ESP12
1,ESP25
1,ESP26
1,ESP27
1,ESP28
1,ESP40
12,GMs4
13,GMs6
14,GMs6
13,GMs8
12,GMs20
1,AMv10
12,WRB10
1,CPa50
15,WHa1
16,WHa8
9,WMc10
4,ThE10
16,ThE10
9,JaC1
11,JaC10
11,JaC15
11,JaC20
11,JaC23
9,JaC25
4,JaC28
11,GKS60
17,LMi1
17,LMi5
1,LMi23
1,LMi25
1,LMi35
1,DWG7
1,DWG8
1,DWG9
16,DWG10
7,DWG11
11,DWG15
1,DWG27
16,DWG40
11,DWG49
1,DWG50
18,DWG51
18,DWG52
1,DWG52
1,DWG55
1,DWG57
3,DWG58
1,DWG64
18,DWG67
11,DWG71
1,DWG71
1,DWG72
8,DWG72
16,DWG80
3,Z0210
3,Z0220
3,Z0230
3,Z0240
3,Z0250
3,Z0260
3,Z0270
14,EiC10
17,GdL10
1,MCs2
1,MCs3
1,MCs10
14,WMk10
3,FkP10
1,GlS10
19,ISB10
1,ThB10
1,ThB30
1,ThB55
