id,name,birthYear
s000000001,Willie Aames,1960
s000000002,Bud Abbott,1895
s000000003,Diahnne Abbott,
s000000004,George Abbott,1887
s000000005,John Abbott,1905
s000000006,Philip Abbott,1923
s000000007,Kareem AbdulJabbar,
s000000008,Walter Abel,1898
s000000009,F.Murray Abraham,
s000000010,James Abrahams,
s000000011,Maury Abram,
s000000012,Victoria Abril,
s000000013,Joss Ackland,1928
s000000014,Dan Ackroyd,
s000000015,David Ackroyd,1940
s000000016,Peter Ackroyd,
s000000017,Rodolfo Acosta,1920
s000000018,Eddie Acuff,1902
s000000019,Jean Adair,1872
s000000020,Alfred Adam,1909
s000000021,Ronald Adam,1896
s000000022,John Adames,
s000000023,Beverly Adams,1945
s000000024,Brooke Adams,1949
s000000025,Catlin Adams,1950
s000000026,Dorothy Adams,1915
s000000027,Edie Adams,1929
s000000028,Jane Adams,1921
s000000029,Jill Adams,1931
s000000030,Julie Adams,1926
s000000031,Maud Adams,1950
s000000032,Nick Adams,1931
s000000033,Robert Adams,1906
s000000034,Sam Adams,
s000000035,Tome Adams,1938
s000000036,Dawn Addams,1930
s000000037,Wesley Addy,1912
s000000038,Isabelle Adjani,1955
s000000039,Jay Adler,1899
s000000040,Luther Adler,1903
s000000041,Renee Adoree,1898
s000000042,Mario Adorf,1930
s000000043,Max Adrian,1902
s000000044,Ben Affleck,
s000000045,Casey Affleck,
s000000046,John Agar,1921
s000000047,Rati Agnihotri,1960
s000000048,Jenny Agutter,1952
s000000049,Brian Aherne,1902
s000000050,Philip Ahn,1911
s000000051,Anouk Aimee,1932
s000000052,Richard Ainley,1910
s000000053,Maria Aitkins,
s000000054,Franklyn Ajaye,1949
s000000055,Muriel Aked,1887
s000000056,Claude Akins,1918
s000000057,Serap Aksoy,
s000000058,Josh Albee,
s000000059,Anna Maria Alberghetti,1936
s000000060,Han Albers,1892
s000000061,Eddie Albert,1908
s000000062,Edward Albert,1951
s000000063,Edward Albert~jr.,
s000000064,William Albert,
s000000065,Frank Albertson,1907
s000000066,Jack Albertson,1907
s000000067,Mabel Albertson,1901
s000000068,Hardie Albright,1903
s000000069,Lola Albright,1925
s000000070,Alan Alda,1936
s000000071,Robert Alda,1914
s000000072,Rutanya Alda,
s000000073,John Alderton,1940
s000000074,Vera Alentova,
s000000075,Ben Alexander,1911
s000000076,Jane Alexander,1939
s000000077,John Alexander,1901
s000000078,Katherine Alexander,1901
s000000079,Ross Alexander,1907
s000000080,Sandy Alexander,
s000000081,Terence Alexander,1923
s000000082,Hope AlexanderWells,
s000000083,Muhammed Ali,1942
s000000084,Dorothy Alison,1925
s000000085,Andrea Allan,
s000000086,Elizabeth Allan,1908
s000000087,William Alland,1916
s000000088,Chesney Allen,1894
s000000089,Catherine Allegret,
s000000090,Elizabeth Allen,1934
s000000091,Fred Allen,1894
s000000092,Gracie Allen,1902
s000000093,Karen Allen,1955
s000000094,Nancy Allen,1954
s000000095,Patrick Allen,1927
s000000096,Rae Allen,
s000000097,Steve Allen,1921
s000000098,Woody Allen,1935
s000000099,Joseph Allen~jr.,
s000000100,Kirstie Alley,
s000000101,Sara Allgood,1883
s000000102,Claud Allister,1891
s000000103,Astrid Allwyn,1909
s000000104,June Allyson,1917
s000000105,Pedro Almodovar,
s000000106,Maria Conchita Alonso,
s000000107,Corinne Alphen,
s000000108,Kirk Alyn,1910
s000000109,Betty Amann,
s000000110,Leonora Amar,
s000000111,Don Ameche,1908
s000000112,Lucio Amelio,
s000000113,Leon Ames,1903
s000000114,Ramsay Ames,1919
s000000115,Suzy Amis,1962
s000000116,John Amos,
s000000117,John Amplas,
s000000118,Dev Anand,
s000000119,Glenn Anders,1889
s000000120,Luana Anders,1949
s000000121,Merry Anders,1932
s000000122,Bridgette Andersen,
s000000123,Bibi Anderson,
s000000124,E. Erich Anderson,
s000000125,Rochester,1905
s000000126,G.M. Anderson,1882
s000000127,Harriet Anderson,
s000000128,Herbert Anderson,1917
s000000129,Ingrid Anderson,
s000000130,Jean Anderson,1908
s000000131,John Anderson,1922
s000000132,Judith Anderson,1898
s000000133,Lindsay Anderson,1923
s000000134,Loni Anderson,1947
s000000135,Mary Anderson,1920
s000000136,Melissa Sue Anderson,
s000000137,Michael Anderson~jr.,1943
s000000138,Richard Anderson,1926
s000000139,Rona Anderson,1926
s000000140,Warner Anderson,1911
s000000141,Bibi Andersson,1935
s000000142,Harriet Andersson,1932
s000000143,Carole Andre,
s000000144,Gabe Andre,
s000000145,Fr\'ed\'ric Andrei,
s000000146,Ursula Andress,1936
s000000147,Anthony Andrews,1948
s000000148,Brian Andrews,
s000000149,Dana Andrews,1909
s000000150,Eamonn Andrews,
s000000151,Edward Andrews,1914
s000000152,Harry Andrews,1911
s000000153,Julie Andrews,1934
s000000154,The Andrews Sisters,n.a.
s000000155,Stanley Andrews,1892
s000000156,Heather Angel,1909
s000000157,Pier Angeli,1932
s000000158,The Hells Angels,
s000000159,Maya Angelou,1929
s000000160,Muriel Angelus,1909
s000000161,Ivy Angustain,
s000000162,Evelyn Ankers,1918
s000000163,Morris Ankrum,1896
s000000164,Francesca Annis,1944
s000000165,AnnMargret,1941
s000000166,Michael Ansara,1922
s000000167,Karen Anspach,
s000000168,Susan Anspach,1939
s000000169,Adam Ant,
s000000170,Lysette Anthony,
s000000171,Michael Anthony,
s000000172,Susan Anton,
s000000173,Laura Antonelli,
s000000174,Lou Antonio,
s000000175,Scott Antony,1950
s000000176,Aquanetta,1920
s000000177,Alfonso Arau,
s000000178,Roscoe Arbuckle,1887
s000000179,Allan Arbus,
s000000180,Anne Archer,
s000000181,Fanny Ardant,1949
s000000182,Eve Arden,1912
s000000183,Carmen Argenziano,
s000000184,Adam Arkin,
s000000185,Alan Arkin,1934
s000000186,David Arkin,
s000000187,Richard Arlen,1898
s000000188,Arletty,1898
s000000189,George Arliss,1868
s000000190,Pedro Armendariz,1912
s000000191,Henry Armetta,1888
s000000192,Bess Armstrong,
s000000193,Curtis Armstrong,
s000000194,Louis Armstrong,1900
s000000195,R.G. Armstrong,1920
s000000196,Robert Armstrong,1890
s000000197,Todd Armstrong,1939
s000000198,Yvonne Arnaud,1892
s000000199,Lucie Arnaz,1951
s000000200,Desi Arnaz,1915
s000000201,Desi Arnaz~jr.,1953
s000000202,Peter Arne,1920
s000000203,James Arness,1923
s000000204,Jeanetta Arnette,
s000000205,Edward Arnold,1890
s000000206,Mark Arnott,
s000000207,Charles Arnt,1908
s000000208,Rosanna Arquette,
s000000209,Antonin Artaud,1895
s000000210,Beatrice Arthur,1923
s000000211,George K. Arthur,1899
s000000212,Jean Arthur,1905
s000000213,Linda Arvidson,1884
s000000214,Leslie Ash,
s000000215,Peggy Ashcroft,1907
s000000216,Jane Asher,1946
s000000217,Ren\`ee Asherson,1920
s000000218,Edward Ashley,1904
s000000219,Elizabeth Ashley,1939
s000000220,Jennifer Ashley,
s000000221,John Ashley,
s000000222,Gregoire Asian,
s000000223,Luke Askew,
s000000224,Arthur Askey,1900
s000000225,Ed Asner,1929
s000000226,Chuck Aspegren,
s000000227,Armand Assante,
s000000228,Asta,
s000000229,Adele Astaire,
s000000230,Fred Astaire,1899
s000000231,Nils Asther,1897
s000000232,John Astin,1930
s000000233,Patty Duke Astin,1946
s000000234,Gertrude Astor,1887
s000000235,Mary Astor,1906
s000000236,William Atherton,1947
s000000237,Christopher Atkins,1961
s000000238,Eileen Atkins,1934
s000000239,Kiyoshi Atsumi,1928
s000000240,Richard Attenborough,1923
s000000241,Malcolm Atterbury,1907
s000000242,Edith Atwater,1911
s000000243,Lionel Atwill,1885
s000000244,Kim Atwood,
s000000245,Brigitte Auber,
s000000246,Rene Auberjonois,1940
s000000247,Lenore Aubert,1913
s000000248,Cecile Aubry,1929
s000000249,Joss Auckland,
s000000250,Michael Auclair,1922
s000000251,Maxine Audley,1923
s000000252,Stephane Audran,1932
s000000253,Audrey,
s000000254,Mischa Auer,1905
s000000255,Claudine Auger,1942
s000000256,Marie Ault,1870
s000000257,JeanPierre Aumont,1909
s000000258,John Austin,
s000000259,Daniel Auteuil,
s000000260,Gene Autry,1907
s000000261,Frankie Avalon,1939
s000000262,Luis Avalos,
s000000263,Doe Avedon,1928
s000000264,Brian Avery,
s000000265,Margaret Avery,
s000000266,Nina Axelrod,
s000000267,Hoyt Axton,
s000000268,George Ayer,
s000000269,Dan Aykroyd,
s000000270,Felix Aylmer,1889
s000000271,Agnes Ayres,1896
s000000272,Gregg Ayres,
s000000273,Lew Ayres,1908
s000000274,Robert Ayres,1914
s000000275,Randle Ayrton,1869
s000000276,Shabana Azmi,
s000000277,Charles Aznavour,1924
s000000278,Candy Azzara,
s000000279,Hank Azaria,1964
s000000280,Lauren Bacall,1924
s000000281,Barbara Bach,1951
s000000282,Pamela Bach,1962
s000000283,Amitabh Bachchan,1942
s000000284,Jim Backus,1913
s000000285,Kevin Bacon,
s000000286,Hermione Baddeley,
s000000287,Alan Badel,1923
s000000288,Buddy Baer,1915
s000000289,Harry Baer,
s000000290,Max Baer,1909
s000000291,Pearl Bailey,1918
s000000292,Barbara Bain,1932
s000000293,Fay Bainter,1892
s000000294,Scott Baio,1961
s000000295,Blanche Baker,
s000000296,Carrol Baker,1931
s000000297,Diane Baker,1936
s000000298,Hylda Baker,1909
s000000299,Joe Don Baker,1943
s000000300,Josephine Baker,1906
s000000301,Kathy Baker,
s000000302,Kenny Baker,1912
s000000303,Ruby Baker,
s000000304,Stanley Baker,1927
s000000305,Tom Baker,1935
s000000306,Bob Balaban,1965
s000000307,Jill Balcon,1925
s000000308,Rebecca Balding,
s000000309,Adam Baldwin,
s000000310,Alec Baldwin,195x
s000000311,Daniel Baldwin,
s000000312,Stephen Baldwin,1963
s000000313,William Baldwin,1963
s000000314,Betty Balfour,1903
s000000315,Mireille Balin,1909
s000000316,Florinda Balkan,
s000000317,Lucille Ball,1910
s000000318,Vincent Ball,*
s000000319,Kay Ballard,1926
s000000320,Martin Balsam,1919
s000000321,Anne Bancroft,1931
s000000322,George Bancroft,1882
s000000323,Antonio Banderas,1960
s000000324,Victor Banerjee,
s000000325,Donatas Banionis,
s000000326,Alex Bank,
s000000327,Tallulah Bankhead,1902
