starId,movieId
s000002907,AA13
s000002798,AA13
s000003553,AA13
s000006840,AA13
s000003712,AA13
s000006841,AA13
s000006262,AA13
s000004888,AA13
s000002433,AA13
s000001113,AA13
s000000869,AA13
s000004239,AA14
s000001707,AA14
s000004218,AA14
s000006842,AA14
s000003704,AA16
s000001920,AA16
s000004022,AA16
s000001986,AA16
s000005650,AA16
s000000215,AA16
s000005605,AA16
s000004226,AA16
s000005177,AA29
s000001558,AA29
s000006843,AA29
s000006844,AA29
s000002429,AA29
s000003883,AA29
s000006845,AA29
s000002930,AA29
s000000612,AA37
s000001531,AA37
s000004006,AA37
s000006628,AA37
s000004390,AA37
s000001490,AA37
s000006548,AA37
s000006846,AA37
s000003971,AA37
s000005634,AA38
s000003744,AA38
s000006847,AA38
s000006848,AA38
s000005045,AA38
s000005160,AA38
s000000392,AA38
s000000842,AA41
s000006113,AA41
s000005819,AA41
s000006122,AA41
s000006849,AA41
s000006850,AA41
s000003977,AA41
s000006587,AA41
s000006851,AA41
s000005045,AA41
s000006548,AA41
s000006852,AA41
s000001258,AA41
s000006853,AA41
s000002825,AA41
s000006854,AA41
s000006846,AA41
s000004787,AaB10
s000005819,AaB10
s000001827,AaB10
s000006855,AaB10
s000006856,AaB10
s000006857,AaB10
s000006858,AaB10
s000006859,AaB10
s000006860,AAd10
s000004466,AAd10
s000001606,AAd10
s000006860,AAd10
s000006860,AAd10
s000006861,AAd10
s000002135,AAd10
s000006862,AAh10
s000000070,AAl6
s000000825,AAl6
s000006863,AAl6
s000001562,AAl6
s000004371,AAl6
s000006610,AAl6
s000000192,AAl6
s000000070,AAl10
s000000877,AAl10
s000004921,AAl10
s000002887,AAl10
s000006864,AAl10
s000002300,AAl10
s000005428,AAl10
s000001086,AAl10
s000005294,AAl20
s000000070,AAl20
s000006865,AAl20
s000003177,AAl20
s000006866,AAl20
s000006867,AAl20
s000006868,AAl20
s000004903,AAl20
s000004676,AAl20
s000006869,AAl20
s000006823,AAl20
s000000024,AAn10
s000006870,AAn10
s000006871,AAn10
s000003607,AAn10
s000006872,AAn12
s000006873,AAn12
s000006874,AAn12
s000005418,AAn14
s000006875,AAn14
s000006876,AAn14
s000003865,AAn14
s000006877,AAn14
s000006878,AAn14
s000000417,AAn14
s000000323,AAn14
s000006879,AAn14
s000006880,AAn14
s000006881,AAn14
s000006882,AAn14
s000006100,AAn14
s000006699,AAn14
s000006883,AAn14
s000005497,AAr10
s000006365,AAr10
s000002901,AAr10
s000006884,AAr10
s000006885,AAr10
s000006782,AAr10
s000006886,AAr10
s000003207,AAr20
s000004904,AAr20
s000005079,AAr20
s000004047,AAr20
s000006887,AAS10
s000006888,AAS10
s000006527,AAS10
s000003619,AAS10
s000006190,AAS10
s000006889,AAS10
s000006890,AAt10
s000006891,AAt10
s000006892,AAt10
s000006893,AAt10
s000006894,AAt10
s000006895,AB2
s000006896,AbA10
s000006897,AbA10
s000006898,AbA10
s000006899,AbA10
s000006900,AbA10
s000001583,AbA10
s000000636,ABd4
s000000548,ABd4
s000006901,ABe10
s000006093,AbF10
s000005780,AbF10
s000006156,AbF10
s000006902,AbF10
s000006462,AbF20
s000003234,AbF25
s000006903,AbF25
s000006904,AbF25
s000003865,AbF26
s000003234,AbF26
s000006905,AbF26
s000006906,AbF27
s000006907,AbF27
s000006208,AbF27
s000006908,AbF27
s000006859,AbH1
s000006859,AbH1
s000006859,AbH1
s000001735,ABi10
s000000699,ABi10
s000006909,ABi10
s000006910,ABi10
s000004546,ABi10
s000006911,ABi10
s000006912,ABi20
s000006913,ABi20
s000002177,ABi20
s000006914,AbK15
s000006859,AbK15
s000006859,AbK15
s000006859,AbK15
s000003744,ABl10
s000006915,ABl10
s000004012,ABl10
s000002460,ABn1
s000006916,ABo10
s000006917,ABo10
s000006859,ABo10
s000006825,AbP10
s000006918,AbP10
s000005901,AbP10
s000006919,AbP10
s000005747,AbP10
s000006920,AbP10
s000005740,AbP50
s000003996,AbP50
s000005885,AbP50
s000006921,AbP50
s000000752,ABr1
s000004056,ABr1
s000006859,ABr1
s000002470,ABr1
s000000752,ABr2
s000002638,ABr2
s000003347,ABr2
s000000756,ABr2
s000003613,ABr2
s000003279,ABr2
s000004735,ABr2
s000000752,ABr3
s000002517,ABr3
s000006922,ABr3
s000006923,ABr3
s000000752,ABr4
s000002395,ABr4
s000006859,ABr4
s000006020,ABr4
s000006235,ABr4
s000003837,ABr4
s000005241,ABr7
s000006859,ABr7
s000006207,ABr9
s000004350,ABu10
s000001437,ABu10
s000003444,ABu10
s000006534,ABu10
s000003083,ABu10
s000004329,ABW40
s000001368,ABW40
s000002788,ABW40
s000000329,ABW40
s000004563,ABW40
s000006744,ABW40
s000004920,ABW40
s000004786,ABz10
s000005419,ABz10
s000006295,ABz10
s000006056,ABz10
s000005914,ABz10
s000000376,AC5
s000000235,AC5
s000004683,AC5
s000006114,AC5
s000003769,AC5
s000006924,AC5
s000003751,AC5
s000006925,AC5
s000000376,AC6
s000006384,AC6
s000001498,AC6
s000006058,AC6
s000006045,AC6
s000006756,AC7
s000005835,AC7
s000003119,AC8
s000004052,AC8
s000004683,AC8
s000000537,AC8
s000003566,AC8
s000004492,AC9
s000001293,AC9
s000004238,AC9
s000006926,AC9
s000000605,AC9
s000004800,AC9
s000006927,AC9
s000006928,AC9
s000003763,AC20
s000002821,AC20
s000006929,AC20
s000004311,AC20
s000002598,AC20
s000000857,AC20
s000006930,AC20
s000002154,AC20
s000000329,ACa40
s000000090,ACa40
s000003554,ACa40
s000005740,ACa40
s000006124,ACa40
s000003096,ACa40
s000005285,ACa40
s000003712,ACa40
s000002093,ACa40
s000001921,ACa40
s000006931,ACa50
s000001366,ACa50
s000004195,ACa50
s000006932,ACa50
s000006933,ACa50
s000003883,ACa50
s000002920,ACa50
s000006336,ACa50
s000006744,ACa50
s000004208,ACa50
s000006934,ACa50
s000005097,ACa50
s000006556,ACa50
s000005177,ACa50
s000005021,ACa50
s000006336,ACa50
s000006935,ACa50
s000000622,ACa60
s000002595,ACa60
s000001702,ACa60
s000006188,ACa60
s000002847,ACa60
s000002920,ACa60
s000000307,ACa60
s000002026,ACa60
s000001210,ACa60
s000006859,ACa60
s000006859,ACa60
s000006936,ACf10
s000006937,ACf10
s000006299,ACf10
s000006938,ACf10
s000006939,AcG10
s000004075,ACj110
s000006940,ACj110
s000006941,ACj110
s000006942,ACj110
s000006943,ACj110
s000006944,ACj110
s000006945,ACj110
s000006946,ACj110
s000003711,ACj111
s000001690,ACj111
s000006943,ACj111
s000006947,ACj111
s000006948,ACj111
s000002790,ACj112
s000000195,ACj112
s000000892,ACj112
s000006235,ACj113
s000006949,ACj113
s000006950,ACj113
s000006951,ACj113
s000006952,ACj113
s000006953,ACj113
s000006041,ACj113
s000002130,ACj113
s000006954,ACj114
s000005550,ACj114
s000006955,ACj114
s000006956,ACj114
s000001195,ACj114
s000001900,ACj115
s000002651,ACj115
s000006957,ACj115
s000006958,ACj115
s000006959,ACj115
s000006960,ACj115
s000006961,ACj115
s000006962,ACj115
s000006963,ACj115
s000006964,ACj116
s000006965,ACj117
s000006966,ACj117
s000006967,ACj117
s000002053,ACj118
s000002402,ACj118
s000006968,ACj118
s000002098,ACj119
s000006969,ACj119
s000006970,ACj119
s000006971,ACj120
s000006972,ACj120
s000005173,ACj121
s000001195,ACj121
s000006973,ACj121
s000006974,ACj121
s000006975,ACj121
s000006976,ACj121
s000006977,ACj121
s000005222,ACj121
s000006978,ACj121
s000000406,ACj122
s000006979,ACj122
s000003711,ACj122
s000006980,ACj122
s000006981,ACj123
