TS=28114953,TJ=26792141
TS=103724863,TJ=99783197
TS=143039271,TJ=141798664
TS=186163876,TJ=182942759
TS=8817387685,TJ=8815834797
TS=9859488191,TJ=9858092824
TS=141989765,TJ=140722029
TS=10170962027,TJ=10165672759
TS=134531007,TJ=133196187
TS=10210530425,TJ=10209224028
TS=10429741093,TJ=10428476207
TS=10545639625,TJ=10543316818
TS=10506524899,TJ=10505087856
TS=10386435991,TJ=10385063698
TS=10412223382,TJ=10410991748
TS=10442042301,TJ=10440758331
TS=109970442,TJ=108853300
TS=118052302,TJ=112815245
TS=113589423,TJ=112301162
TS=125837320,TJ=120325775
TS=130798701,TJ=129483891
TS=142046578,TJ=140720021
TS=9916425128,TJ=9912908948
TS=144396076,TJ=142113011
TS=144878982,TJ=143550284
TS=145270490,TJ=144035924
TS=9919958959,TJ=9918588373
TS=9878923848,TJ=9877687538
TS=140565468,TJ=139372620
TS=9949674487,TJ=9947584299
TS=10053719144,TJ=10047013754
TS=131555667,TJ=130380090
TS=10335033071,TJ=10329020755
TS=131523865,TJ=130148786
TS=10079285642,TJ=10075979991
TS=10162221144,TJ=10158902615
TS=137549706,TJ=134353748
TS=10179345365,TJ=10178127837
TS=171145917,TJ=163095863
TS=10108961136,TJ=10106611382
TS=10220392758,TJ=10218710459
TS=150331341,TJ=148434780
TS=10147178834,TJ=10145889574
TS=10249847785,TJ=10245395503
TS=140572074,TJ=139444508
TS=148678688,TJ=144750559
TS=10159090686,TJ=10157771453
TS=9999723558,TJ=9997898883
TS=134492687,TJ=133365908
TS=10268253115,TJ=10265976014
TS=9943687407,TJ=9938874202
TS=10108180518,TJ=10107076321
TS=130763517,TJ=128669941
TS=130838674,TJ=129749927
TS=10223394873,TJ=10218493157
TS=133363021,TJ=132104089
TS=9852597838,TJ=9851237270
TS=10189630855,TJ=10188457382
TS=10263904714,TJ=10262787800
TS=10209544011,TJ=10208544917
TS=10189379838,TJ=10188454322
TS=10181680003,TJ=10180583327
TS=10139692825,TJ=10138628809
TS=142605436,TJ=141628587
TS=10249129173,TJ=10248020155
TS=137899267,TJ=136767292
TS=145441218,TJ=144467226
TS=10181235258,TJ=10178054166
TS=10014467333,TJ=10013370875
TS=127550594,TJ=126539395
TS=10212820141,TJ=10208598105
TS=10266466104,TJ=10265391598
TS=10267969024,TJ=10266967594
TS=10087338176,TJ=10086135557
TS=159123141,TJ=158117125
TS=10382570512,TJ=10381548546
TS=139000451,TJ=138023097
TS=10314854915,TJ=10311940114
TS=158035013,TJ=157021562
TS=142181085,TJ=141184498
TS=10172977423,TJ=10171567078
TS=154355601,TJ=153311203
TS=138709826,TJ=137662670
TS=10127393994,TJ=10125343496
TS=10061946336,TJ=10060937886
TS=127178067,TJ=126156347
TS=9979103837,TJ=9977166973
TS=10189492881,TJ=10188394483
TS=126336425,TJ=125323763
TS=9948243638,TJ=9945813935
TS=10038100072,TJ=10034661729
TS=10270606335,TJ=10269464980
TS=130845093,TJ=129786451
TS=10307204213,TJ=10306076337
TS=10319372070,TJ=10318341814
TS=10438669313,TJ=10437729920
TS=10738920600,TJ=10737954922
TS=10463032561,TJ=10461988601
TS=226005886,TJ=224942342
TS=10500939723,TJ=10497956866
TS=10758321438,TJ=10757381724
TS=10568477282,TJ=10567325255
TS=10371794500,TJ=10370766112
TS=132616859,TJ=131190342
TS=10303397832,TJ=10302387925
TS=10352847853,TJ=10351823369
TS=143399939,TJ=142429840
TS=10544636981,TJ=10543407802
TS=10083220121,TJ=10082285287
TS=10312773286,TJ=10311774797
TS=141399919,TJ=139343280
TS=10262901800,TJ=10261864149
TS=10384461423,TJ=10383447262
TS=10419634919,TJ=10416607793
TS=169509237,TJ=168686622
TS=10011047226,TJ=10009876758
TS=147748234,TJ=143921289
TS=10065758164,TJ=10061986804
TS=129983723,TJ=129046304
TS=128055560,TJ=124840133
TS=10057273788,TJ=10056150654
TS=10458992640,TJ=10454253243
TS=10329545102,TJ=10328278287
TS=10212207403,TJ=10211014232
TS=10095675207,TJ=10094784277
TS=127213320,TJ=126336808
TS=10205964080,TJ=10205041379
TS=10283387324,TJ=10282368831
TS=10313854935,TJ=10310168770
TS=137688640,TJ=136324248
TS=138063376,TJ=134042235
TS=104890453,TJ=103887899
TS=142663289,TJ=141802595
TS=140244666,TJ=139267337
TS=9750774499,TJ=9749758218
TS=9979544618,TJ=9978270402
TS=10109398842,TJ=10106344528
TS=10060789224,TJ=10059863588
TS=10092260726,TJ=10091372719
TS=123403614,TJ=121507297
TS=10017740579,TJ=10016924744
TS=9915176904,TJ=9914244214
TS=10137594439,TJ=10136768324
TS=10158344663,TJ=10157347380
TS=150545837,TJ=149737100
TS=10045199455,TJ=10042334930
TS=9922246625,TJ=9921232158
TS=10022555421,TJ=10021724822
TS=9997663664,TJ=9996787935
TS=10210438885,TJ=10209529795
TS=10184287916,TJ=10179948111
TS=10166627087,TJ=10165280754
TS=10305366769,TJ=10304503329
TS=120522376,TJ=119652746
TS=10061639579,TJ=10060730763
TS=150474308,TJ=149645364
TS=110174243,TJ=109251103
TS=135606733,TJ=134674173
TS=10200382912,TJ=10198864962
TS=130587361,TJ=129672470
TS=145557407,TJ=142172054
TS=10229460310,TJ=10227951589
TS=136300708,TJ=135418547
TS=10027234077,TJ=10026328450
TS=153054997,TJ=152186908
