TS=28490091,TJ=27850173
TS=127332144,TJ=113717275
TS=542556772,TJ=527430803
TS=8414623776,TJ=8413619159
TS=8790602385,TJ=8789954007
TS=9004161182,TJ=9001849428
TS=223377915,TJ=222864082
TS=9171937231,TJ=9171449192
TS=131521590,TJ=131056060
TS=9298075181,TJ=9295729845
TS=9103308171,TJ=9099228995
TS=8679009010,TJ=8678114095
TS=9443954737,TJ=9437052925
TS=122080154,TJ=120376087
TS=120582048,TJ=120072201
TS=9517743557,TJ=9515504559
TS=112291952,TJ=111843177
TS=110520164,TJ=107812756
TS=140874719,TJ=140368822
TS=8956381919,TJ=8955826731
TS=9071058026,TJ=9070489712
TS=8701841126,TJ=8701369399
TS=137139876,TJ=136650992
TS=140394947,TJ=139580730
TS=9060433455,TJ=9059935981
TS=8820536300,TJ=8819447829
TS=8732600187,TJ=8732114842
TS=97530089,TJ=97063137
TS=8846066480,TJ=8845239042
TS=136686022,TJ=136180507
TS=86790199,TJ=86335745
TS=129945709,TJ=129053154
TS=120204428,TJ=119732510
TS=8803473509,TJ=8801663067
TS=8712304081,TJ=8711778487
TS=108315974,TJ=107843854
TS=9147348267,TJ=9146379979
TS=137070150,TJ=136578092
TS=9164036268,TJ=9162498421
TS=9122758972,TJ=9122225755
TS=9237298062,TJ=9234641944
TS=9325406840,TJ=9324958621
TS=66034242,TJ=65530784
TS=9318439885,TJ=9317844745
TS=82235761,TJ=81718582
TS=124600360,TJ=124229209
TS=9230201672,TJ=9229695187
TS=9121080580,TJ=9120237272
TS=8639570781,TJ=8639091415
TS=116863280,TJ=116415203
TS=9079926109,TJ=9079437614
TS=9289393688,TJ=9288874757
TS=123902617,TJ=123458437
TS=8829558090,TJ=8826058803
TS=118055371,TJ=117569669
TS=120841318,TJ=120382707
TS=9115336428,TJ=9114883493
TS=9286608246,TJ=9286108106
TS=9078882946,TJ=9078120235
TS=9121921901,TJ=9121374472
TS=8771662675,TJ=8771169096
TS=8982239894,TJ=8979655620
TS=9027972308,TJ=9027419578
TS=9048583977,TJ=9047966664
TS=132463403,TJ=131982010
TS=128346333,TJ=127892967
TS=147401812,TJ=146918005
TS=136580546,TJ=136105904
TS=9042024611,TJ=9041539125
TS=9052173137,TJ=9051557258
TS=9174022054,TJ=9173554505
TS=9305836829,TJ=9305317914
TS=9066245437,TJ=9064375090
TS=8816363666,TJ=8815897863
TS=134630581,TJ=134182696
TS=120278556,TJ=119833558
TS=9181795173,TJ=9180958630
TS=140826509,TJ=140267155
TS=119896936,TJ=119323482
TS=8950887383,TJ=8950095495
TS=143207035,TJ=142745901
TS=8652605721,TJ=8652095145
TS=119783093,TJ=118148132
TS=129025053,TJ=128517746
TS=8877519860,TJ=8877038938
TS=8712191936,TJ=8691179775
TS=104316485,TJ=103889921
TS=8929878464,TJ=8929487442
TS=8447898153,TJ=8447452809
TS=8915589624,TJ=8915120151
TS=8651584899,TJ=8651083311
TS=8724094535,TJ=8723544114
TS=119488800,TJ=119015528
TS=8886395513,TJ=8882722466
TS=9285002137,TJ=9284497282
TS=9232555658,TJ=9232059603
TS=9067091016,TJ=9065609992
TS=193137375,TJ=192667220
TS=9296362649,TJ=9295965679
TS=9314249364,TJ=9313767627
TS=9152188330,TJ=9151709283
TS=9094214853,TJ=9092610957
TS=9060389148,TJ=9059883173
TS=134556289,TJ=133054929
TS=9026734717,TJ=9025924023
TS=9319735909,TJ=9318897919
TS=9271626081,TJ=9271141340
TS=9094075536,TJ=9093589553
TS=9168030878,TJ=9166262731
TS=125465738,TJ=125019749
TS=9119748094,TJ=9119244049
TS=108769401,TJ=108301025
TS=126848411,TJ=126352401
TS=9109542469,TJ=9109081496
TS=9007221057,TJ=9006763028
TS=8671455461,TJ=8670939020
TS=124382190,TJ=123895485
TS=129569530,TJ=129112948
TS=123607747,TJ=123115598
TS=8950033444,TJ=8949431318
TS=9279069973,TJ=9278593516
TS=9081564852,TJ=9081022727
TS=9343129746,TJ=9342684354
TS=9421463366,TJ=9421031608
TS=111321502,TJ=110845491
TS=143712829,TJ=143220006
TS=9424966751,TJ=9424484539
TS=9477539019,TJ=9476688600
TS=110640288,TJ=110181218
TS=129377723,TJ=128871574
TS=9346949508,TJ=9346045655
TS=130065911,TJ=129599168
TS=8818271955,TJ=8817734127
TS=128962128,TJ=128441203
TS=9246760903,TJ=9246241482
TS=9327304052,TJ=9324044764
TS=9455248849,TJ=9454757975
TS=9024440820,TJ=9023923900
TS=9098188214,TJ=9097685707
TS=109838833,TJ=109063775
TS=9250845924,TJ=9250352807
TS=9204859937,TJ=9204362943
TS=9343555782,TJ=9343031881
TS=8426001634,TJ=8425481844
TS=125305343,TJ=124777614
TS=9170746365,TJ=9170231920
TS=9235143361,TJ=9234212570
TS=9291197513,TJ=9290710606
TS=9269722786,TJ=9269223099
TS=9487484931,TJ=9486952927
TS=144722752,TJ=144216981
TS=9425616960,TJ=9425121836
TS=9169541048,TJ=9168734171
TS=9377664018,TJ=9377124965
TS=118059498,TJ=117586981
TS=132517927,TJ=132041242
TS=8956563306,TJ=8956062800
TS=82517763,TJ=82065145
TS=129535656,TJ=129022483
TS=121684969,TJ=121207209
TS=138418220,TJ=137960191
TS=9291959907,TJ=9291158910
TS=9085279038,TJ=9084783037
TS=9085492232,TJ=9085035572
TS=9417063998,TJ=9416532286
TS=131009444,TJ=130517982
TS=9126525805,TJ=9125965602
TS=129895960,TJ=129435282
TS=118703546,TJ=118230503
TS=9138245908,TJ=9137729478
TS=118895773,TJ=118408256
TS=9266860276,TJ=9266389108
TS=107328693,TJ=106950024
TS=118633548,TJ=118149673
TS=9053708005,TJ=9053249692
TS=8819310894,TJ=8818804235
TS=82709903,TJ=80270041
TS=9025286619,TJ=9024758089
TS=166750138,TJ=166268076
TS=9035664588,TJ=9035092211
TS=9191581664,TJ=9191082427
TS=9209750644,TJ=9208946680
TS=126012203,TJ=125501903
TS=9040224241,TJ=9039734691
TS=117874046,TJ=117436280
TS=9333536826,TJ=9333191527
TS=9341760269,TJ=9341301046
TS=132416922,TJ=131993242
TS=8985053380,TJ=8984578666
TS=8941251277,TJ=8938678215
TS=81654936,TJ=81194911
TS=9008632585,TJ=9008127852
TS=137668179,TJ=137208534
TS=124498442,TJ=124016250
TS=133951199,TJ=133475594
TS=8964326270,TJ=8963843475
TS=9064298779,TJ=9063794068
TS=121768434,TJ=121283781
TS=109942571,TJ=109477443
TS=9338755200,TJ=9338308113
TS=9243748134,TJ=9243103087
TS=9255789591,TJ=9255354503
TS=9130431171,TJ=9129916629
TS=88524980,TJ=88046453
TS=9300054644,TJ=9299551369
TS=107341493,TJ=106868475
TS=104602705,TJ=104145414
TS=122928454,TJ=122466948
TS=119222455,TJ=118698703
TS=105837514,TJ=105372368
TS=129665940,TJ=129161292
TS=8799975233,TJ=8799450077
TS=128218242,TJ=127714215
TS=129666829,TJ=128973235
TS=8989235235,TJ=8988641114
TS=8996951136,TJ=8996485229
TS=142931420,TJ=142434386
TS=8950343226,TJ=8949859379
TS=117106676,TJ=116649599
TS=142658873,TJ=142176939
TS=9058507979,TJ=9058040657
TS=9066968515,TJ=9066484924
TS=9094852472,TJ=9093959423
TS=9132049468,TJ=9131560571
TS=110394871,TJ=109904892
TS=139498287,TJ=139014424
TS=9035618590,TJ=9035147948
TS=8910808995,TJ=8910287130
TS=9105036080,TJ=9104444582
TS=9144168252,TJ=9143643800
TS=9191631916,TJ=9191091269
TS=116634268,TJ=116146658
TS=9185906035,TJ=9185068248
TS=9185935535,TJ=9185455153
TS=114514673,TJ=114027385
TS=9324267808,TJ=9323697583
TS=9205685532,TJ=9205156301
TS=9187523470,TJ=9187054567
TS=8871056839,TJ=8870509613
TS=9010981488,TJ=9010436326
TS=145418999,TJ=143946569
TS=139210820,TJ=138731773
TS=9012325102,TJ=9011839842
TS=124478557,TJ=124020154
TS=119474971,TJ=118978277
TS=126675811,TJ=126182857
TS=122408862,TJ=121888008
TS=136705152,TJ=136197307
TS=8956565039,TJ=8956092156
TS=9104077936,TJ=9103576187
TS=135598279,TJ=135133759
TS=9195301629,TJ=9193731773
TS=9198317906,TJ=9197856430
TS=9120113486,TJ=9119589815
TS=103884211,TJ=103422504
TS=9042809118,TJ=9042322240
TS=92947667,TJ=92476485
TS=117259244,TJ=116784356
TS=185946761,TJ=185465526
TS=8745562255,TJ=8744988120
TS=130512854,TJ=129671130
TS=9043801393,TJ=9043105433
TS=8921217485,TJ=8920736376
TS=137513345,TJ=137055785
TS=141299209,TJ=140831467
TS=121782916,TJ=121335875
TS=9188402469,TJ=9187972367
TS=9055561299,TJ=9055080286
TS=9124165786,TJ=9123687766
TS=9191606353,TJ=9191107119
TS=9131089782,TJ=9130590049
TS=108738072,TJ=108248766
TS=126010840,TJ=125562867
TS=129567838,TJ=129083925
TS=135264499,TJ=134797311
TS=9150564328,TJ=9150028786
TS=132703635,TJ=131872908
TS=8689883304,TJ=8689376221
TS=127759304,TJ=127299653
TS=120311688,TJ=119861659
TS=126019165,TJ=124523309
TS=9023581479,TJ=9023050511
TS=9135352035,TJ=9134855297
TS=144490554,TJ=144002959
TS=8936243493,TJ=8935749856
TS=9244711483,TJ=9244211061
TS=110212579,TJ=109763218
TS=9123273765,TJ=9122518864
TS=111516970,TJ=111033847
TS=8992831710,TJ=8992319989
TS=8973209250,TJ=8971112629
TS=138858560,TJ=138385465
TS=9137330279,TJ=9135902679
TS=8807141642,TJ=8806646932
TS=8976103382,TJ=8975609716
TS=151307204,TJ=150823512
TS=9058281059,TJ=9057757726
TS=9139175243,TJ=9138689673
TS=9091199815,TJ=9090683485
TS=9276196952,TJ=9275710822
TS=9343351930,TJ=9342797879
TS=9078692404,TJ=9078219105
TS=8971544034,TJ=8971015546
TS=90878958,TJ=90440875
TS=89145963,TJ=88394049
TS=8867863462,TJ=8867366601
TS=8353383452,TJ=8352887472
TS=130750975,TJ=130261008
TS=8709293474,TJ=8708763950
TS=9300653848,TJ=9300128399
TS=9192374508,TJ=9191858668
TS=8965844983,TJ=8965362930
TS=9103232131,TJ=9102772797
TS=9203489091,TJ=9202862441
TS=120272249,TJ=119870204
TS=8904629177,TJ=8903071346
TS=8726507763,TJ=8724526112
TS=134705767,TJ=134249314
TS=8937592106,TJ=8937014493
TS=9017151471,TJ=9016650178
TS=8906554739,TJ=8906050436
TS=126304692,TJ=125572909
TS=9077073215,TJ=9074506265
TS=9359648731,TJ=9359164408
TS=9235314912,TJ=9234811052
TS=9393524453,TJ=9393077251
TS=116636379,TJ=116191761
TS=111142836,TJ=110661801
TS=112750272,TJ=112298351
TS=9073428285,TJ=9072933319
TS=9416509190,TJ=9416039091
TS=8661348387,TJ=8660772396
TS=9041234520,TJ=9040687995
TS=8992223440,TJ=8991713266
TS=116831443,TJ=116426798
TS=131889512,TJ=131431782
TS=139705281,TJ=139189400
TS=8893861228,TJ=8892364645
TS=8867108435,TJ=8866593916
TS=8921643298,TJ=8921152700
TS=8919429714,TJ=8918609437
TS=8946122380,TJ=8945660818
TS=8995311502,TJ=8994760774
TS=141767790,TJ=141286609
TS=8696163993,TJ=8695598272
TS=103045024,TJ=102588134
TS=8744518769,TJ=8743982914
TS=135557261,TJ=135096478
TS=139950083,TJ=139478036
TS=9089614280,TJ=9089074398
TS=8928703446,TJ=8928186316
TS=131455410,TJ=130958664
TS=141211602,TJ=140693697
TS=8975586854,TJ=8975069242
TS=9051132370,TJ=9050653865
TS=139012062,TJ=138512892
TS=9001591800,TJ=9001089252
TS=9056481084,TJ=9055989105
TS=8834247854,TJ=8833776724
TS=120362685,TJ=119902217
TS=159873430,TJ=159090737
TS=8722957918,TJ=8722413973
TS=9153590592,TJ=9152891575
TS=8970790783,TJ=8969839604
TS=135931248,TJ=135407105
TS=9042696566,TJ=9040822479
TS=9216599284,TJ=9215945808
TS=9013997445,TJ=9013532248
TS=9102706853,TJ=9102253197
TS=9411194872,TJ=9410714672
TS=9141632281,TJ=9141112493
TS=134096763,TJ=133581411
TS=8889661713,TJ=8889151187
TS=9088097601,TJ=9087356826
TS=9051296230,TJ=9050734902
TS=137464985,TJ=136988328
TS=139516587,TJ=139061616
TS=9117620131,TJ=9117125681
TS=129925436,TJ=129475845
TS=9227735217,TJ=9227250289
