TS=70845319,TJ=70372555
TS=141464126,TJ=140983062
TS=152984442,TJ=152508726
TS=137529379,TJ=136171960
TS=9505241675,TJ=9504726370
TS=9734645543,TJ=9734102609
TS=131463895,TJ=130970972
TS=180898622,TJ=177940023
TS=10268350070,TJ=10245279373
TS=10264777455,TJ=10264292072
TS=10223749438,TJ=10220888413
TS=10132935975,TJ=10132071816
TS=10372055838,TJ=10371472263
TS=10279187128,TJ=10278576166
TS=10211357471,TJ=10210744974
TS=10468771268,TJ=10464614817
TS=151769051,TJ=151373056
TS=176881986,TJ=176416647
TS=194715064,TJ=194286605
TS=195575781,TJ=195028740
TS=213849831,TJ=213306025
TS=134483624,TJ=134054597
TS=10218545499,TJ=10217625844
TS=139146174,TJ=138662147
TS=146859769,TJ=146392332
TS=155385537,TJ=154880788
TS=10396010564,TJ=10395462810
TS=10393953762,TJ=10393442762
TS=10089904321,TJ=10089249501
TS=10434218390,TJ=10433470921
TS=111884655,TJ=111314626
TS=10310522784,TJ=10310091018
TS=111146123,TJ=110691431
TS=9955430396,TJ=9954949842
TS=10042388818,TJ=10041894588
TS=176275392,TJ=175821915
TS=10113891195,TJ=10113336588
TS=141255583,TJ=140767871
TS=143599151,TJ=143153901
TS=10157525033,TJ=10157061763
TS=9860201879,TJ=9859716930
TS=135579347,TJ=135122875
TS=10104846467,TJ=10104365467
TS=10060094638,TJ=10059628782
TS=10290830272,TJ=10290373847
TS=125326232,TJ=124887538
TS=10200495663,TJ=10200034514
TS=10188752893,TJ=10188324823
TS=161048374,TJ=160593898
TS=9992935493,TJ=9992485999
TS=9774909648,TJ=9774443146
TS=144245579,TJ=143816910
TS=9980764656,TJ=9980314199
TS=115369218,TJ=112909612
TS=122973078,TJ=122511909
TS=10189101753,TJ=10188582110
TS=141599407,TJ=141118223
TS=9932775737,TJ=9932304248
TS=9954245271,TJ=9953771079
TS=9994209196,TJ=9993755842
TS=9986679021,TJ=9986231459
TS=10014954571,TJ=10014472391
TS=10108441143,TJ=10108000706
TS=10059389388,TJ=10058824747
TS=126088779,TJ=125625904
TS=10108661842,TJ=10108194435
TS=9883457593,TJ=9883006695
TS=148080594,TJ=147621077
TS=130974489,TJ=130501686
TS=9644831578,TJ=9644294626
TS=129299245,TJ=128850172
TS=9583818200,TJ=9583308672
TS=9925136964,TJ=9924663186
TS=9885473777,TJ=9884888509
TS=9837506446,TJ=9837067002
TS=132699102,TJ=132257299
TS=141705104,TJ=141262631
TS=10073682611,TJ=10072922658
TS=129949612,TJ=129462856
TS=10003963914,TJ=10003272972
TS=139473123,TJ=138964082
TS=9872022004,TJ=9871559523
TS=9835454613,TJ=9835011041
TS=142403236,TJ=141997702
TS=205563503,TJ=205009170
TS=135297710,TJ=134846763
TS=135833891,TJ=135392295
TS=9911169969,TJ=9910629599
TS=9876123853,TJ=9875581665
TS=9765645630,TJ=9765093940
TS=10024521643,TJ=10024055517
TS=9909697931,TJ=9909226265
TS=139810279,TJ=139350987
TS=10065303303,TJ=10064816566
TS=9914851823,TJ=9914421648
TS=10079117365,TJ=10078674524
TS=145819404,TJ=145391783
TS=10078134471,TJ=10077700988
TS=10148810275,TJ=10148325066
TS=10027171824,TJ=10025670406
TS=9880488057,TJ=9880017576
TS=9803955353,TJ=9803455201
TS=9906024282,TJ=9905584345
TS=125633267,TJ=125173957
TS=10039442607,TJ=10038944207
TS=9962141009,TJ=9961692784
TS=10001601685,TJ=10000847947
TS=9360968864,TJ=9360539666
TS=137137835,TJ=136696869
TS=9860095062,TJ=9859635259
TS=9791015245,TJ=9790483449
TS=144175049,TJ=143733836
TS=128747341,TJ=128274600
TS=10049845625,TJ=10049397214
TS=9760744128,TJ=9760284417
TS=10079375072,TJ=10078897895
TS=139710068,TJ=139176090
TS=144676631,TJ=144096498
TS=132384988,TJ=131910193
TS=10443087291,TJ=10442280536
TS=10275822893,TJ=10275304954
TS=9802909080,TJ=9802398444
TS=10332991186,TJ=10332563662
TS=10274907034,TJ=10274512124
TS=10551074701,TJ=10550660990
TS=124438317,TJ=124043102
TS=116522841,TJ=116138896
TS=10226496112,TJ=10226088170
TS=115689255,TJ=115312337
TS=131658296,TJ=131281519
TS=9746485921,TJ=9746063025
TS=10038922182,TJ=10038138898
TS=114916604,TJ=114538955
TS=135607760,TJ=135183898
TS=9974251422,TJ=9973833054
TS=9953715103,TJ=9953297984
TS=10019677921,TJ=10019258316
TS=9934407705,TJ=9933936363
TS=139329347,TJ=138930692
TS=10052472212,TJ=10052063664
TS=10097178842,TJ=10096817092
TS=10054461233,TJ=10054025841
TS=9842344723,TJ=9842020163
TS=9475841522,TJ=9475444569
TS=10042755682,TJ=10042329748
TS=128380200,TJ=127958521
TS=9883243358,TJ=9882773656
TS=9954356029,TJ=9953947789
TS=9755354748,TJ=9754958826
TS=10152559111,TJ=10152120742
TS=9839088627,TJ=9838665573
TS=10038676230,TJ=10038249551
TS=90906497,TJ=90507201
TS=10062040326,TJ=10061638880
TS=10146499425,TJ=10145780982
TS=136512614,TJ=136117660
TS=126240864,TJ=125844972
TS=10204088924,TJ=10203666197
TS=10086420073,TJ=10085725133
TS=119103511,TJ=118695991
TS=117349838,TJ=116953783
TS=109124991,TJ=108748043
TS=199656009,TJ=199254507
TS=10287955247,TJ=10287516217
TS=139621875,TJ=139217084
TS=10077331616,TJ=10076902675
TS=10459567902,TJ=10459140537
TS=139628488,TJ=139225420
TS=134621578,TJ=134186426
TS=145730474,TJ=145333239
TS=132089259,TJ=131671739
TS=10247276856,TJ=10246854544
TS=133033451,TJ=132655201
TS=10136561353,TJ=10136187892
TS=10407274026,TJ=10406821835
TS=10335674191,TJ=10335232086
TS=10171463567,TJ=10171045437
TS=111803598,TJ=111410117
TS=9992665393,TJ=9992237499
TS=10210385557,TJ=10209958914
TS=113479567,TJ=113069357
TS=9290249348,TJ=9289835165
TS=127877144,TJ=127445118
TS=136721145,TJ=136298108
TS=132802102,TJ=132392058
TS=10233350780,TJ=10232914488
TS=10238480098,TJ=10238066441
TS=10245455660,TJ=10245070946
TS=10290737265,TJ=10290324182
